post,like_count,comment_count,share_count
"<北 또 핵·미사일 도발! 文대통령 유엔 가서 무슨말 할 건가?>
북한이 지난 11일과 12일 이틀 동안 순항미사일 3발을 발사한 데 이어, 인천상륙작전기념일인 오늘 탄도미사일 2발을 발사했습니다.
지난 7월엔 IAEA(국제원자력기구)가 북한이 영변의 플루토늄 원자로를 재가동한 사실을 포착했고, 최근엔 우라늄 농축 징후도 포착했다고 보도되고 있습니다.
이는 유엔 안보리 결의안의 명백한 위반 행위들입니다.   
이처럼 북한 핵·미사일 경보음이 연이틀 울렸음에도 정작 우리 정부는 천하태평입니다. 
오히려 대북 인도적 협력을 빙자해서, 전국 모든 지방자치단체를 ‘대북지원 사업자’로 지정하는 등 대북제재 완화를 추구하는 얼빠진 조치를 했습니다.
유엔총회 참석차 출국 예정인 문재인 대통령에게 촉구합니다.
영변 원자로 재가동과 미사일 발사 도발은 북한이 털끝 만큼도 변하지 않았음을 보여주는 단적인 사례입니다. 
북한의 핵위협은 문재인 정부의 무능하고 무책임한 대북 굴종정책 속에서 자라난 독버섯입니다.
지금이라도 대북 환상에 기댄 뜬구름 잡는 ‘한반도평화프로세스’ 정책을 포기하고, ‘현실’과  ‘상호주의’에 튼튼하게 뿌리 내린 새로운 대북정책으로 전환하십시오. 
그것이 '국가 보위, 국민의 생명과 재산 보호'라는 대통령의 헌법상 책무를 다 하는 길임을 명심하기 바랍니다.
#탄도미사일 #순항미사일 #영변_원자로_재가동 #유엔안보리결의안 #문재인대통령 #북한 #핵미사일
#유승민",82,7,64
"1차 경선에 보내주신 성원에 감사드립니다.
이제 본격적인 경선과 토론이 시작됩니다.
누가 문재인 정부가 망쳐 놓은 대한민국을 바로 세우고
누가 새로운 대한민국의 비전과 전략, 정책을 갖고 있는지
누가 집값 잡고 좋은 일자리를 만들어 여러분의 삶을 진정 바꿀 수 있는지
국민 여러분께서 똑똑히 보게 되실 것입니다.
경제에 강한 유승민! 
안보에 강한 유승민!
미래에 강한 유승민! 
민주당에 강한 유승민!
이제 곧 보여드리겠습니다.
끝까지 성원을 부탁드립니다.
유승민이 돼야 이깁니다!
유승민만이 정권교체의 필승카드입니다!
#1차_컷오프_통과
#본격_토론_시작
#집값_부동산
#일자리
#강하다_유승민
#유승민_돼야_이긴다",340,64,11
"이재명 지사님은 언론탓 그만하고, 자신 있으면 자료 공개하십시오.
성남 대장동 개발사업을 두고 이재명 지사의 해명이 가관입니다.
숱한 의혹 투성이에 “마타도어가 난무한다,” “억지도 이런 억지가 없다”며 적반하장격으로 언론을 공격하고 있습니다.
핵심은 투명성입니다. 아무리 공공개발이라 하더라도 특혜를 주고, 절차적 정당성을 지키지 않았다면 이는 수사대상이고 비판받아 마땅합니다.
오늘 새로운 의혹이 또 터졌습니다. 
이 지사와 특수관계 의혹을 받고 있는 ‘성남의 뜰’이 민간사업자 공모 당시 사업계획서 접수 하루만에 선정됐다고 합니다. 
공공이든 민간이든 1조5,000억원 규모의 사업계획서를 하루 만에 검토하여 선정하는 사례를 들어 본 적이 없습니다. 하루만에 이렇게 큰 규모의 사업계획서를 선정했다는 의혹 자체가 수사대상입니다. 
성남시와 ‘성남의 뜰’이 사전 교감이 있었다고 볼 수밖에 없는 상황입니다.
이재명 지사께서 그렇게 떳떳하고 자신 있다면 모든 관련 자료를 투명하게 공개하면 됩니다.
성남도시개발공사는 관련 자료 제출을 거부하고 있습니다. 
이 지사 스스로 모범공익 사업이라고 자화자찬하는데 자료공개는 왜 거부하는 것입니까?
근거 있는 의혹에 대해 언론을 상대로 화풀이를 해서는 국민의 공감을 얻을 수 없습니다.
빨리 자료 공개나 하십시오!
https://news.naver.com/main/read.naver?mode=LSD&mid=sec...
https://news.naver.com/main/read.naver?mode=LSD&mid=sec...
#이재명지사 #성남의뜰 #성남대장동 #판교대장 #화천대유
#유승민",110,9,6
"< 윤석열 후보님, 비정규직이 정규직과 다를 바 없다니요? > 
“사실은 임금의 큰 차이가 없으면, 비정규직이나 정규직이 뭐 큰 의미가 있겠어요?” 
“특히 요새 우리 젊은 사람들은  어느 한 직장에 평생 근무하고 싶은 생각이 없잖아요.”
윤후보님, 이게 우리 청년들에게 할 말입니까? 
평생 검찰공무원으로 살아서 청년들의 마음을 모르는 거 같네요.
언제 짤릴지 모르는 비정규직의 심정을 그렇게도 모르나요?
청년들이 평생직장을 원하지 않다니요? 
공무원 시험에 매달리는 청년들의 절박함이 보이지 않습니까?
청년들 앞에서 그런 말을 하려면 586 기득권을 비롯한 윗세대부터 솔선수범해야죠.
강성노조의 보호를 받는 정규직의 양보를 받아야지요.
그런 것 없이 윗세대는 정규직 평생직장 다니면서 청년들만 비정규직으로 메뚜기처럼 평생 이직하라는 말입니까?
고용안정에 대한 개념조차 없는 발언입니다.
현실을 모르면서 함부로 말하지 마세요.
대통령 후보 자격을 논하기 전에, 
같은 시대, 같은 나라에 사는 분 맞나 싶습니다.
#비정규직 #정규직 #임금차이 #평생직장 #이직 #강성노조 #메뚜기 #윤석열
#유승민",387,88,26
"<무고죄, 이제는 엄히 처벌해야 합니다>
지난 11일, 불륜 상대방의 배우자로부터 민사소송을 당하자 성폭행을 당했다고 허위 고소한 20대 여성이 집행유예를 선고 받았습니다. 
불륜남을 두둔할 생각은 없습니다. 
그러나 이런 무고는 폭력 못지 않게 파렴치한 행위입니다.
그럼에도 이 여성은 고작 집행유예를 선고 받았습니다. 
남의 인생을 망칠 수 있는 큰 범죄에 비해 처벌은 너무 약합니다. 
피해를 주장하는 사람이 여성이냐 남성이냐에 상관없이 무죄추정의 원칙과 증거재판주의가 지켜져야 합니다.
그리고 무고죄에 대한 양형기준을 엄하게 바꿔야 합니다.
성범죄, 비성범죄를 가리지 말고 중죄선고율이 높은 범죄를 무고하는 경우 그 처벌을 강화해야 합니다
남의 인생을 망칠 생각이라면 본인 인생도 걸어야 한다는 사실은 최소한 염두에 둘 수 있도록 말입니다.
#불륜 #허위고소 #집행유예 #무고죄 #남의_인생을_망칠_생각이라면_본인_인생도_걸어라 #무죄추정의원칙 #증거재판주의",383,40,121
"[희망캠프에서 알려드립니다]
유승민 예비후보의 9월 15일(수) 일정 안내드립니다.
- 09:00 故조용기 목사 빈소 조문(여의도순복음교회 대성전 1층 베다니홀)
- 10:00 유튜브방송 녹화(희망22)
- 21:00 인스타라이브 '오늘밤, 유승민입니다' 방송(희망22)
  *'오늘밤, 유승민입니다'는 9월12일(일) 21시 성황리에 첫방송을 마쳤고 내일 두번째 라이브방송 예정입니다. 직접 소통을 강화하기 위한 본 방송은 유튜브 라이브로도 함께 진행됩니다.",143,9,15
"<반성 없는 문재인 부동산 정책, 제정신입니까?>
‘집값 급등은 세계적 현상이고 한국 상승률은 평균보다 낮다.’ 
이런 소리를 제정신으로 할 수 있습니까?… See More",386,34,77
"영산(靈山) 조용기 원로목사님이 하나님의 부르심을 받았습니다.
조용기 목사님은 우리나라 기독교의 역사에 큰 자취를 남기신 분입니다.
‘오른손이 한 일을 왼손이 모르게 하라’는 성경의 가르침을 따랐고,
국내외에 선한 영향을 끼치며 많은 분들에게 귀감이 되는 삶을 사셨습니다.
목사님의 뜻이 후대에도 전해지길 바라며, 편히 잠드시길 기도합니다.
삼가 유가족을 비롯한 성도님들에게도 심심한 위로의 말씀을 전합니다.
#조용기_목사_소천  #편히_잠드소서
#유승민",162,11,11
"마포 맥주집과 여수 치킨집 사장님의 비보에 이어 평택 노래방 사장님의 슬픈 소식을 접했습니다.
""이젠 쉬고 싶다""는 말을 남기고 30대에 생을 마감한 이 자영업자가 마지막에 혼자 감당해야 했던 삶의 무게는 가늠조차 되지 않습니다.
자영업자 소상공인들을 더 이상 절망과 좌절 속에 방치해서는 안됩니다.
알려지지 않은 죽음은 훨씬 더 많을 것입니다.
이 분들을 위한 특단의 대책을 긴급히 마련해야 합니다.
당장 정부와 국회는 자영업자 손실보상 긴급 추경을 편성해야 합니다.
그리고 자영업자가 신용불량자로 전락하지 않도록 대출연장을 포함한 대책도 행동에 옮겨야 합니다.
전국민 재난지원금이니 90% 지급이니, 전국민에게 기본소득을 줘야한다느니 자영업자는 나몰라라 하고 그저 표 얻는데만 진심인 문재인 대통령과 이재명 후보에게 경고합니다.
당신들의 눈에는 절망 속에 스러져가는 자영업자들의 죽음이 보이지 않습니까?
재난지원금 없이도 살아갈 수 있는 사람들에게 왜 예산을 씁니까?
그 돈을 어려운 자영업자 소상공인, 저소득층을 위해 써야 하지 않겠습니까?
문재인 정권과 민주당이 자영업자들을 죽음으로 내몰고 있습니다.
이건 죄를 저지르는 겁니다.
유승민이 반드시 심판하고 바로잡을 것입니다.
#마포_맥주집 #여수_치킨집 #평택_노래방 #자영업자_소상공인 #저소득층 #전국민_재난지원금 #죄 #문재인 #이재명
#유승민 #심판 #긴급추경 #신용불량자대책",351,25,41
"오늘 대구 서문시장에 다녀왔습니다.
많은 분들이 반겨주시고 손잡아 주셨습니다.
대구에 가면 늘 힘을 얻고 옵니다.
극우 유튜버를 비롯해 방해하는 분들도 계셨습니다만, 저의 상승세가 두렵기 때문에 나오는 반응입니다.
진정한 보수, 대구의 아들로서 꿋꿋하게 나아가겠습니다.
또 대구노인회에 가서 어르신들의 솔직한 말씀과 따뜻한 응원의 말씀을 들었습니다.
그리고 동산병원에서 젊은 간호사, 방사선사, 임상병리사를 만나 코로나 일선 현장에 계시는 의료진의 목소리를 들었습니다.
유승민만이 지금 이 나라의 혼란을 극복하고 경제를 살릴 수 있습니다.
다른 후보들이 정말로 이재명 지사를 이길 수 있다고 생각하십니까?
품격 있는 보수, 강하고 능력있는 유승민 만이 할 수 있습니다.
고향에서 응원해 주시면
중도, 수도권, 청년의 마음을 얻어 유승민이 반드시 정권교체 하겠습니다.
문재인 정권의 실정, 유승민이 바로잡겠습니다.
응원해주십시오. 
제 고향 대구의 민심이 결국 유승민을 선택해, 정권을 교체할 것입니다.
#대구_서문시장 #대구노인회 #동산병원
#정권교체 #대구의_아들 #유승민",506,83,28
