post,like_count,comment_count,share_count
"<정치인의 망발을 언제까지 견뎌야 합니까>
어제 국회 본회의 대정부질문에서 국민의힘 의원이 또 면책특권을 남용했습니다. 문재인 대통령이 간첩의 도움을 받아 당선됐다는, 언급할 가치도 없는 망언을 자행한 것입니다.
그 정당의 역사에서는 흔한 행태라지만 저는 참을 수 없습니다. 국민의 대통령 선출을 문제삼고 대통령을 턱없이 모욕하는 것은 민주주의에 대한 정면 도전입니다.
국민들은 더 좋은 정치를 누리셔야 합니다. 지금까지 우리 정치에서는 특정 세력과 자신의 이익만을 위해 면책특권을 사용해왔습니다. 국회를 그들만의 성역으로 전락시켜버린 것입니다.
면책특권을 명시한 헌법 제45조는 대정부 질문 등 국회의원의 활동을 보호합니다. 그것은 우리 사회를 보다 나은 방향으로 움직이게 하기 위해서 입니다. 
국익이 아니라 정파의 이익을 위해 가짜뉴스를 만들고 전파하라는 규정이 아닙니다.
국회는 개점휴업 상태인 윤리특별위원회를 다시 가동해 이 사안을 논의해주시길 부탁드립니다. 저는 정치개혁을 위한 공약으로 면책특권의 제한과 국민소환제 도입을 제안드린 바 있습니다. '정치인들의 삶만 지키는 나라'가 아닌, 국민 한 분 한 분께 '내 삶을 지겨주는 나라'로 거듭나도록 최선을 다하겠습니다.",481,141,36
"<역사의 순간, 역사적인 선택에 참여해주십시오>
더불어민주당의 대선후보를 선출하는 3차 선거인단 모집이 오늘 마감됩니다. 당원이 아닌 국민들이 우리당의 후보 선출에 참여할 수 있는 기회. 오늘 밤 9시 까지만 신청을 받습니다. 
당원과 국민이 함께 참여하는 대선후보 경선은 민주당이 가장 선도적으로 만들어낸 국민참여민주주의의 축제입니다. 2002년 노무현 대통령의 뜨거웠던 역전 드라마도, 2017년 문재인 대통령의 감동적인 승리도 모두 우리당 경선에서 시작되었습니다. 
코로나19 확산으로 당원과 국민들을 현장에서 많이 뵙지 못 하는 것이 아쉽지만 그래도 우리는 온라인으로, 전화로, 마음과 마음으로 연결되어 있습니다. 그 마음은 하나입니다. 4기 민주정부 창출, 수많은 일들을 해 냈고 또 해 낼 문재인정부의 계승과 발전, 미처 못 이룬 개혁과 코로나19 극복입니다. 
아직 시간이 있습니다. 기회가 있습니다. 선거인단이 되어주십시오. 역사의 순간, 역사적인 선택에 참여해 주십시오. 그리고 이낙연을 선택해주십시오. 꼴찌에서 시작해 결국 승리했던 노무현 후보의 역전, 촛불혁명을 이끌고 국민과 함께 승리했던 문재인 후보의 열정. 그 모든 승리와 반전을 저 이낙연이 해내고 싶습니다. 오늘 밤 9시에 마감되는 3차 선거인단 모집에 많은 참여를 부탁드립니다.
전화신청 : 1668-1111
보이는ARS : 1668-2022
온라인 : http://win.theminjoo.kr
선거인단 가입 안내 : http://myurl.ai/zRAxq",889,389,292
"<한부모·청소년부모 국가보호책임 강화 - 내 아이를 지켜주는 나라 기자회견문>
저는 어제(13일) 내 아이를 지켜주는 나라, 저출생 대책을 말씀드렸습니다. 
오늘은 한부모와 24세 이하 청소년 부모에 관해 말씀드리겠습니다. 
작년 인구주택 총조사에 따르면, 우리나라 열 가구 중 한 가구가 한부모가족이고(총 153만 가구), 미성년 자녀를 키우는 한부모가족은 약 37만 가구로 한부모가족은 사회적 편견과 차별로 인해 고통을 겪고 있고, 이는 다시 자녀에 대한 낙인으로 이어지고 있습니다. 그러나 한부모가족은 특별하거나 잘못된 것이 아닙니다. 
서로 약간 다를 뿐입니다. 이 다름을 국가가 채워주고, 사회가 편견을 없애야 합니다. 
저는 오늘 미래세대에 책임지는 정치인으로서 한부모 및 청소년 부모 지원정책에 대해 말씀드리려 합니다. 
한부모 및 청소년 부모에 대한 국가보호책임 강화, 신복지를 통한 2030년까지 적정수준의 지원정책 추진, 임산-출산-양육-자립단계별 추가지원 확대 등 3원칙을 바탕으로 맞춤형 추가지원을 확대하겠습니다. 
첫째, 임신 단계 지원 확대입니다. 
미혼 및 청소년 임신 여성의 입덧 치료비용을 전액 지원하겠습니다. 
입덧은 질병코드(O21)가 부여되어 있지만, 국내에서 사용되는 치료제는 비급여로 월평균 20만원 수준의 부담이 있습니다. 이를 국가가 책임지겠습니다. 
아울러 일반 임산부의 입덧 치료는 건강보험을 적용하겠습니다. 
현재 22개인 미혼모자 기본생활 지원시설 수를  2030년까지 최소 40개소 이상으로 확대하고, 미혼부자 복지시설도 5개소 이상 설립하겠습니다. 보호기간도 최대 2년까지 연장하겠습니다.  
정부의 미혼 모자(부자) 가족복지시설 운영비 지원을 물가상승률 수준으로 매년 인상하여 시설에 입소하는 미혼 한부모 가족이 필요한 지원을 적절하게 제공받을 수 있도록 하겠습니다. 
둘째, 출산단계 지원 강화입니다. 
한부모, 청소년 부모 등 출산가정에 ‘조건 없이’ 산후도우미를 지원하겠습니다. 
정부 지원 산후도우미 사업에서 한부모와 청소년 부모에 대해서는 소득 기준을 폐지하여 지원을 확대하겠습니다. 
셋째, 양육단계 지원 현실화입니다. 
저는 어제 만 5세까지 매달 100만원의 양육비  지원을 약속했습니다. 이에 더해 한부모의 양육비 지원 대상을 중위소득 기준 60% 이하로 확대하고 청소년 부모는 80%까지 늘리겠습니다.  
영유아보육법에 따른 어린이집 입소 1순위에 한부모가족의 소득 구분을 폐지하고, 청소년 부모는 학업 등을 위해 1순위로 배정하겠습니다. 
양육비 의무를 이행하지 않을 경우 국가가 먼저 양육비를 지원하고 양육비 채무자로부터 해당 금액을 회수하는 양육비 대지급 제도를 전면 시행하겠습니다.  
미혼부가 병역의무를 이행하면 자녀 양육을 국가가 책임지는 제도를 마련하겠습니다. 
단기적으로는 미혼부가 병역의무를 이행(상근예비역)하면 신복지를 통해 온종일 초등학교제 및 탄력 근무 등에 따른 어린이집 이용 지원을 추진하고, 중장기적으로 모병제 확대 등 국방개혁과 연계해 사회적 합의를 통해 병역 감면 대상자 지정을 검토하겠습니다. 
넷째, 자립단계 지원 확대입니다.  
‘청소년 부모’에 대해서도 공공임대주택 입주 우선순위를 부여하고, 미혼 한부모 및 청소년 부모의 공공임대주택 입주 시 공적 보증체제를 활용해 보증금 없이 입주할 수 있도록 지원하겠습니다. 
또한 한부모 가족의 자녀 지원을 강화하겠습니다. 교복비, 수학여행비, 현장학습비와 같은 필수적 항목을 전액 지원하고, 초등학생 중심 방과 후 프로그램에서 중고등학생 대상으로 방과 후 공부방 운영 등 학습 지원 프로그램을 다양화하겠습니다.  
청소년 부모에게 EBS 강의교재를 무료로 지원하고, 현행 전국 16개 단기 위탁 기관 확대도 추진하겠습니다. 
한부모 및 청소년 부모의 직업교육 참여시 거주지 인근 교육시설에 최우선으로 배정하여 학습과 양육 병행을 지원하겠습니다. 
마지막으로 한부모 및 청소년 부모 지원 제도 정비입니다. 
‘청소년 부모 대상’에 청소년 부모는 물론 청소년 미혼부?모, 사실혼이 아닌 동거 부부, 법률혼 및 그들의 자녀까지 모두 포함하여 지원하겠습니다. 
청소년 부모가 기초생활보장 수급자로 선정되려면 원가정에 알려야 하나, 청소년 부모 대부분이 원가정과의 관계가 원만치 않은 상황을 고려해야 합니다. 
청소년 부모 전담 조직 설치로 현행 청소년 부모 지원 대상과 정책이 분산된 문제를 개선하여 효율성과 실효성을 높이겠습니다. 
보다 근본적으로는 아이를 임신, 출산, 양육하는 모든 사람에 대해 국가?사회적 책임을 강화하여 국민 모두가 안심하고 아이를 출산, 양육할 수 있는 사회를 만들어 나가겠습니다.   
오늘 제안드린 정책이 한부모, 청소년 부모의 어려움을 모두 해소해드릴 수는 없지만, 작은 희망이나마 드리고 싶습니다. ‘비정상 가족’이라는 사회적 편견과 차별을 겪게 하는 것이 아니라 국가가 내 삶과 내 아이를 지켜줄 수 있다는 믿음을 드리고 싶습니다. 태어난 아이가 부모와 함께 행복할 수 있는 국가와 사회를 만들겠습니다.  
감사합니다.",984,263,345
"<정세현 전 장관님, 이상이 교수님의 필연캠프 합류에 감사드립니다> 
저를 돕는 필연캠프가 정세현 전 장관님, 이상이 교수님와 함께합니다. 두 분께 진심으로 환영합니다. 그리고 감사합니다.  
정세현 전 장관님은 김대중 대통령님과 노무현 대통령님의 통일부장관으로서 대북정책을 설계하고 실행하셨습니다.  
한반도를 둘러싼 안보 환경이 크게 요동치는 지금, 정세현 전 장관님의 경험과 혜안이 절실히 필요합니다. 한반도 평화와 번영을 꾸려갈 많은 조언과 꾸지람을 청해 듣고 연성강국 신외교의 비전을 더욱 풍성히 만들겠습니다.  
이상이 교수님 역시 이론과 실무에 모두 밝은 복지국가 정책 전문가입니다. 김대중 노무현 정부 시절 건강보험 확충과 보장성 강화에 깊숙이 관여하며 보편적 사회안전망 확충에 크게 기여해 주셨습니다. 이상이 교수님의 보편적 복지국가의 꿈은 제 철학인 '신복지' 비전과 일치합니다. 보편적 선진복지국가로 가는 길을 안내하고 잘못은 바로잡아 주시리라 기대합니다.  
우리 앞에 닥친 국내외의 난관은 결코 간단치 않습니다. 정세현 전 장관님, 이상이 교수님은 불안한 리더십과 불확실한 실험 대신 검증되고 안정된 리더십으로 대한민국을 책임있게 이끌어야 한다고 평가해주셨습니다. 두 분과 함께 대한민국의 미래를 믿음직하게 설계하고 실천해 가겠습니다.",1.4K,258,535
"<대한민국을 '아이 낳고 싶은 나라'로 만들겠습니다 - 저출생 대책 기자회견문>
지난해 우리나라의 합계출산율이 0.84명이었습니다. 역대 최저치, 세계 최하위입니다. 
이것은 국가 존망의 위기를 부를 수도 있습니다. 출산을 포기하지 않아도 되는 나라, 아이를 낳고 싶어지는 나라, 그것이 제가 꿈꾸는 미래 대한민국입니다. 
취업난, 주택난, 돌봄난, 교육난 등 일상이 숨막히고 양극화가 심해지는 그 현실이 저출생의 본질적 저변입니다. 그것을 바로 잡는 것이 시대정신입니다. 
제가 이미 제안한 ‘신복지’와 ‘중산층 70% 경제’ 비전도 망국적인 저출생 문제를 해결하기 위한 근본처방으로서였습니다. 
저는 출생률을 높이기 위한 모든 방법을 강구하겠습니다. 특히 출생률로 대통령의 업무수행 실적을 평가받는 최초의 대통령이 되겠습니다. 
아이를 온 사회가 함께 키우는 나라로 거대한 전환이 필요합니다. 국가와 사회의 역량을 아이 키우기에 집중해야 합니다. 기존의 관습을 벗어나 대담하게 제도를 고쳐야 합니다. 
대한민국을 ‘아이 낳고 싶은 나라’로 만들기 위해 저 이낙연이 일곱 가지를 약속드립니다. 
첫째, 한 명만 출생해도 현재의 다자녀 가구 지원 이상의 과감한 지원을 제공하겠습니다. 
다자녀 가정의 기준을 자녀 ‘셋’에서 ‘둘’로 낮추고 피부에 닿도록 기민하게 정책을 집행하겠습니다. 궁극적으로 다자녀 기준 자체를 없애 출생에 대한 모든 부담을 국가가 지도록 하겠습니다. 
아이가 태어나면 만 다섯 살까지 매월 100만 원씩의 양육비를 지원하겠습니다. 셋째 아이부터 적용되는 대학등록금 전액지원을 둘째 자녀부터 적용하겠습니다. 
둘째, 아이가 어디에 있든 국가가 돌보겠습니다. 
아이가 가정, 동네, 어린이집과 유치원, 학교의 어디에 있든 공공이 돌봄을 책임지는 ‘돌봄 국가책임제’를 실시하겠습니다. 
유치원까지 무상급식을 확대하겠습니다. 어려운 민간어린이집을 매입, 장기임대하는 방식으로 국공립어린이집을 꾸준히 확충하겠습니다. 기존의 민간 어린이집은 충분한 재정적 지원을 통해 국공립어린이집과의 격차를 없애겠습니다. 전문성 있는 보육교사를 양성하면서 보조·연장교사 지원을 확대해 보육의 질과 인력수급을 철저히 관리하겠습니다. 
부모가 퇴근 시간까지 아이를 맡길 수 있도록 ‘온종일 초등학교제’를 실시하겠습니다. 아동수당 지급기간을 우선 초등학교 졸업까지로 확대하고, 2030년에는 만 18세까지로 확대하겠습니다. 
셋째, 출생이라는 ‘축복’의 비용은 국가가 부담하겠습니다. 
OECD 꼴찌 수준인 분만수가를 정상화하고, 산부인과를 필수 과목으로 지정해 정부 지원을 강화하겠습니다. 
산후조리는 엄마와 아이의 권리로 인정하겠습니다. 대도시 중심의 산후조리원 편중과 이용요금 편차를 개선하고 지방의료원 등과 연계한 통합형 공공 산후조리원을 확충하겠습니다. 
민간 산후조리원에 평가인증제를 도입해 소비자를 보호하고, 공공 산후조리원이 업계 전반의 기준이 되도록 체계를 구축하겠습니다. 
넷째, 부모가 육아 걱정 없이 일할 수 있도록 지켜드리겠습니다. 
남녀 모두 회사 눈치 보지 않고 육아하면서 일할 수 있게 하겠습니다. 남녀 간, 중소기업-대기업 간 육아 휴직 격차를 완화하고, 현재 2.2% 수준인 남성육아휴직률을 획기적으로 끌어올리겠습니다. 
육아휴직에 어떤 불이익도 따르지 않도록 하고 남녀 육아휴직자의 복귀 후 어떤 고충도 받지 않도록 하겠습니다. 일·가정 양립을 가로막는 경직된 기업 조직문화를 개선해 나가겠습니다. 
다섯째, 돌봄노동의 가치를 바로 세워 ‘돌봄노동자를 돌보는 사회’를 만들겠습니다. 
현재 돌봄노동은 그 중요성에 비해 지나치게 저평가되고 있습니다. 돌봄노동에 대한 사회의 인식을 대대적으로 개선하고, 임금수준, 경력, 훈련체계 등을 정비하겠습니다. 부당·과다업무를 없애고, 안정적 근무시간을 보장하겠습니다. 
고용안정과 보육료 현실화 등 보육지원체계도 단계적으로 개혁하겠습니다. 
여섯째, 난임 부부에게 힘이 되어드리겠습니다. 
난임시술에 필요한 의약품 구매 비용을 30%까지 세액공제하고, 국영 시험관 시술기관을 지원해 시술을 무료화하겠습니다. 
입덧 치료비용과 비급여 약값에도 건강보험을 적용해, 지치고 고된 심신으로 병원을 찾는 임신부의 부담을 덜어드리겠습니다. 
일곱째, 아이를 혼자 키우도록 방치하지 않겠습니다. 
양육비를 아이의 생존권으로 여기는 사회를 만들겠습니다. 국가가 선지급 후 원천징수하는 양육비 대지급제를 도입하겠습니다. 아이의 성장에 불가피한 양육비 증액 청구는 절차를 간소화하겠습니다. 
청소년 부모가 기댈 수 있는 사회를 만들겠습니다. 생계·가사·양육·학업·취업 등 5중고에 내몰리는 청소년 부모가 육아를 포기하지 않고 이어갈 수 있도록 ‘주거지원’부터 세심하게 배려하겠습니다. 
청소년 한부모 정책을 청소년부모 정책으로 확대하고, 분산된 지원대상과 정책을 통합 지원하겠습니다. 미혼모·미혼부가 혼자가 아닌 사회 만들겠습니다. 
연간 7천여 명(약 2.6%)에 이르는 혼외출산을 사회가 수용해야 합니다. 지원 사각지대인 임신부 부양의무자 기준을 폐지한다. 미혼모·청소년 출산 시 조건 없이 산후도우미를 지원하겠습니다. 
미혼부의 양육지원을 위해 장기적으로 사회적 합의를 통해 미혼부의 병역의무 감면도 검토하겠습니다. 
국민이 없으면 국가도 없습니다. 절박하게 인식하고 처절하게 몸부림치겠습니다. 비용을 걱정하시는 분도 계실 것입니다. 그러나 지금의 출생률은 국가 존망의 위기를 부를 수 있습니다. 과감하게 예산을 투입하겠습니다. 
그 모든 것이 국가 정책으로만 해결되지는 않습니다. 국민과 사회 모두 출생률을 높이는 문화를 함께 만들어야 합니다. 출생률을 높이는 대전환의 중심에 대통령이 있어야 합니다. 
청년들이 오롯한 자기결정권 위에 거리낌 없이 가정을 꾸리고 아이를 낳는 나라, 저 이낙연이 만들겠습니다.",1.3K,262,539
"<정세균의 길이 곧 민주당의 길입니다>
정세균 전 총리께서 경선 후보를 사퇴하셨다는 소식을 들었습니다. 먹먹합니다. 결단에 이르시기까지의 고뇌가 오죽하셨을지, 짐작하기 쉽지 않습니다.
정세균 선배님은 민주당의 어른이시며, 합리적이고 유능한 개혁주의자이십니다.  
박근혜-최순실 국정농단 사건 당시에는 국회의장으로서 헌정 사상 초유의 혼란스러운 상황을 가장 잘 관리하시며, 국회에 주어진 수많은 난관을 풀어내셨습니다. 대통령 탄핵소추와 헌정의 유지라는 모순되는 요구를 특유의 정치력으로 해결해 내셨습니다.
정세균 선배님께서 추구하신 민생과 경제를 중시하는 정치 역시 모든 후배 정치인들의 귀감이 됐습니다. ‘분수경제’로 상징되는 정 선배님의 양극화 대처방안은 민주당이 지키고 가꿔야 할 귀중한 가치의 하나입니다. 
이번 경선 과정에서 정 선배님이 말씀하신 정책과 비전은 현실성과 미래지향성을 겸비한 훌륭한 제안들이었습니다. 이번에도 저는 정 선배님께 많은 것을 배웠습니다. 
“하나 되는 민주당, 새로운 대한민국” 정세균 총리께서 강조하신 말씀입니다. 민주당을 향한 정세균 선배님의 뜨거운 마음을 저는 압니다.  
민주당을 사랑하는 모든 이들이 정세균 총리님께 빚을 지고 있습니다. 품격과 절제, 푸근한 인품과 공인으로서의 책임감, 개혁을 향한 책임있는 비전을 끊임없이 보여주신 정세균 정신의 실천은 저희들의 몫입니다. 저부터 정세균 선배님의 말씀과 정신을 새기며 남은 경선에 임하겠습니다.
국회의원지망생이셨던 정선배님을 제가 취재기자로서 처음 뵈었던 1996년 이래 25년. 제가 늘 존경해온 정선배님 앞에 더 큰 보람이 펼쳐지리라 믿습니다.",2.5K,789,440
"<당원동지들께 드리는 글>
존경하고 사랑하는 당원동지 여러분,  
대한민국은 결코 과거로 돌아갈 수 없습니다. 김대중·노무현 두 대통령님이 국민과 함께 쌓아 올리신 성과가 이명박·박근혜 정부에서 산산이 부서졌던 아픔과 분노를 우리는 기억합니다. 
2012년 대선 패배도 너무 고통스러웠습니다. 지면 아프구나, 나만 아픈 게 아니고 가족도 아프고, 동지도 아프고, 국민도 아프고, 나라도 아프구나… 
우리는 더 절실해졌습니다. 우리는 더 준비하고 또 준비했습니다. 결국 문재인 정부를 출범시키고, 국민주권시대를 열었습니다. 
여기서 멈출 수 없습니다. 
불행한 역사를 반복할 수 없습니다. 
정권 재창출에 실패하면 기득권 세력이 대대적인 반격을 시도할 것입니다. 
포용적 혁신국가와 한반도 평화의 기틀을 위협할 것입니다. 
개혁을 되돌리려는 정치검찰의 퇴행도 일어날 것입니다.  
반드시 대선에서 승리해야 합니다. 
문재인 정부의 성과 위에 포스트 코로나 시대의 회복과 부흥, 불평등 해소, 사회통합의 막중한 과제를 책임져야 합니다. 
대선 승리는 국민에 대한 민주당의 무한 책임입니다. 
대선 승리에 헌신하시는 당원동지 여러분, 
2002년 12월 19일 대통령 선거 당일 아침, 
한 보수신문의 사설 제목을 기억하십니까? 
‘정몽준, 노무현을 버렸다’였습니다. 
하지만 국민은 노무현을 버리지 않았습니다. 
국민이 버린 것은 기득권 세력과 낡은 질서였습니다. 국민은 담대하게 새로운 대한민국을 선택했습니다. 
험난한 대선이 기다리고 있습니다. 
어쩌면 역대 가장 긴박한 대선이 될 것입니다. 
오랜 시간 정권교체 여론이 정권 재창출보다 높습니다. 그러나 낙담하거나 두려워할 일이 아닙니다. 
정권 재창출은 우리 하기에 달려있습니다. 
우리가 옳은 방향으로 뚝심 있게 걷는다면, 
국민도 함께 걸어 주실 것입니다. 
국민의 편에 서서 민주당다운 가치와 정책으로 당당하게 걸어가야 합니다.  
대선 승리를 열망하시는 당원동지 여러분, 
국민과 함께하기 위해서는 준비된 후보를 내세워야 합니다. 
우리는 숱한 어려움 속에서도 국민과 함께 국민의정부·참여정부·촛불정부를 열었습니다. 
그 중심에는 준비된 후보가 있었습니다. 
준비된 후보가 있었기에 대선에서 기득권 세력의 집요한 저항과 반격을 뚫고 승리했습니다. 
민주당 대선 경선은 될 것 같은 사람이 아니라 대통령이 돼야 할 사람을 뽑는 과정입니다. 
그런 가치 투표, 미래 투표가 민주당의 정신이자 대선 승리를 위한 정의로운 선택입니다.  
2002년 호남이 위대했던 이유는 될 것 같은 이인제 후보가 아니라 대통령이 돼야 할 노무현 후보를 선택했기 때문입니다. 
국가경영의 경험, 미래비전, 깨끗한 도덕성을 갖춘 준비된 후보가 민주당다운 후보이고, 대선 승리를 가져올 수 있는 후보입니다.  
사랑하는 당원동지 여러분, 
저는 국회의원직을 던졌습니다. 
이제 제가 가진 것은 없습니다. 
대선 승리를 위한 절실함뿐입니다. 
김대중 대통령은 불과 1.6% 차이로 이겼습니다. 
노무현 대통령의 표차는 2.3%였습니다. 
촛불혁명이 있었지만 문재인 대통령의 득표율은 41.1%였습니다. 
그토록 어렵게나마 이겼던 것은 세 분 모두 흠 없는 후보였기 때문이었습니다. 
이번 대선도 민주당의 선택은 명확합니다. 
민주당답게 흠 없는 후보를 내세우는 것입니다. 
그리고 민주당을 더 큰 민주당으로 만들고, 
더 큰 승리를 가져오는 확장성 있는 후보여야 합니다. 
대선은 확장성의 싸움입니다. 
확장성은 안전한 후보만이 가질 수 있습니다. 
그 확장성이 저 이낙연에게 있습니다.  
국민의힘이 움직이고 있습니다. 
본선 승리를 위해 선수교체에 나선 것입니다. 
중대한 변화입니다. 민주당은 그런 중대 변화에 대응해야 합니다.  
민주당 대선 경선은 아직도 3분의 2가 남았습니다. 호남과 부울경, 수도권이 중대 결단을 하기에 충분한 시간입니다. 
민주당다운 정의로운 결과를 확신합니다.  
저 이낙연, 본선에서 민주당다운 정의로운 승리를 기필코 가져오겠습니다. 
당원동지 여러분! 용기와 확신을 갖고 결단해 주십시오. 그것이 민주당입니다. 
제게 힘을 모아주십시오! 감사합니다.",2K,996,603
"<1차 수퍼위크, 감사드립니다>
존경하고 사랑하는 국민과 당원 여러분, 감사드립니다. 
1차 슈퍼위크가 끝났습니다. 당원 동지와 국민 여러분의 선택을 겸허히 받아들입니다. 저의 부족함을 채우며, 더 절실하게 나아가겠습니다.
아직도 목적지까지 3분의 2가 남았습니다. 충분한 시간입니다. 민주당다운 역동적인 드라마가 펼쳐질 것입니다. 보여드리겠습니다. 
무엇보다 높은 투표율에 감사드립니다. 4기 민주정부를 향한 국민의 절실한 염원이 그렇게 표현됐습니다. 그 절실함을 반드시 제가 담아내겠습니다. 
대선 정국에 중대 변화의 조짐이 보입니다. 
야당 지지층에서 본선 승리를 위해 선수교체에 나섰습니다. 
윤석열 전 총장과 정치검찰, 국민의힘이 연루된 제2의 국정농단 의혹에서보듯이, 대선이 다가올수록 기득권 세력의 대대적인 결집과 집요한 반격이 있을 것입니다.
민주당이 늘 직면했던 선거구도입니다. 
우리는 늘 같은 방식으로 승리했습니다.  
준비되고 안전한 후보를 내세워 당당하게 승리했습니다. 
될 것 같은 사람이 아니라 돼야 할 사람을 선택해 본선에서 승리했습니다. 
그것이 민주당의 전통이고, 민주당 승리의 DNA입니다. 
저는 의원직을 던졌습니다. 이제 제가 가진 것은 대선 승리를 위한 절실함뿐입니다.
남은 기간, 당원과 국민만 바라보며 
온 힘을 다 쏟겠습니다.
“지켜줄게”라고 외쳐주시는 지지자 여러분이 눈물겹게 고맙습니다. 제가 더욱 힘을 내겠습니다. 반드시 민주당의 대선 후보가 돼서 민주주의와 민주당의 가치를 지키고, 
불평등으로부터 국민의 삶을 지키는 4기 민주정부를 열겠습니다. 감사합니다.",2.5K,1.2K,633
"<'100원 택시'의 기적, 내 삶을 지켜주는 나라의 신복지로 이어가겠습니다> 
""한국 시골지역 대중교통을 혁신했다."" 
미국신문 뉴욕타임즈가 '대한민국 농촌의 100원 택시'라는 제목의 기사로 우리의 ‘100원 택시’ 정책을 극찬했습니다. 충남 서천군의 사례를 소개하며 “한국 시골 지역의 대중교통을 혁신했다”고 평가했습니다.  
'100원 택시' 정책은 서천군의 선례를 제가 전남지사 후보로서 수용, 지사 취임 후 전남에 전면 도입했습니다. 벽지 오지에 노선버스를 다니게 하고 보조금을 제공하는 것보다 100원 택시가 더 효율적이기 때문이었습니다. 
전남도와 시·군이 지원예산을 분담해 100원택시를 시작했는데, 인기가 폭발적이었습니다. 절약이 몸에 배신 어르신들은 그 100원도 아끼기 위해 네 명을 채워 택시를 부르곤 하셨습니다.  
문재인 대통령께서 후보 시절에 그 소식을 들으시고, 100원택시를 전국공약으로 채택하셨습니다. 정부에서도 인기가 좋아 국토교통부와 농림수산부가 서로 하겠다고 주장. 제가 총리로서 시 단위는 국토부, 군 단위는 농수산부가 맡도록 조정했습니다. 
저는 그런 복지를 꿈꿉니다. 저의 신복지 제도가 바로 그렇습니다. 우리의 삶은 너무나 복잡합니다. 모두에게 똑같은 방법, 똑같은 접근으로는 해결되지 않습니다. 우리의 복지는 더 촘촘해져야 합니다.  
‘내 삶을 지켜주는 나라’, 저의 신복지 제도는 '100원 택시'처럼 하겠습니다. 지역별로, 연령별로, 삶의 유형별로 세밀하게 접근하겠습니다. 재정은 아끼고, 효과는 극대화하는 선진복지로 진화해야 합니다. 김대중 대통령께서 토대를 만드신 복지의 지평을 더 높이고 더 넓히겠습니다.
https://news.v.daum.net/v/20210912095441247",1.3K,312,473
"<윤석열씨의 무리수 연발>
국민의힘 예비후보 윤석열 씨가 ‘고발 사주 의혹’에서 벗어나고 싶은지, 무리수를 연발합니다.
그는 여권 인사와 언론인 등을 청부고발하려 했다는 혐의로 공수처에 입건됐습니다. 그 일만으로도 그는 국민 앞에 사죄했어야 마땅합니다. 그러나 오늘 윤석열씨측은 도리어 박지원 국정원장을 끌어들이며 정권 차원의 음모 운운하고 나섰습니다. 
윤씨측은 낯익은 구태정치 그대로를 답습하고 있습니다.사실을 엉터리로 조립해 여론전을 펴는 것은 정치검찰의 오랜 타성입니다. 
이번에도 윤석열씨 측은 공익제보자와 박지원 원장이 만났으니, 국정원의 대선 개입이라고 주장합니다. 만난 시점이 고발 사주 의혹 보도 이전이라는 것이 유일한 논거. 그러나, 정작 제보는 만남 이전에 이뤄졌다는 사실을 윤씨측은 언급하지 않았습니다.
윤석열 씨 비호에 바쁜 국민의힘은 스스로를 돌아보아야 합니다. 제보자는 미래통합당 중앙선거대책위원회 부위원장이었고, 지금도 국민의힘 소속입니다.",1.9K,811,530
