post,like_count,comment_count,share_count
"존경하는 국민 여러분, 
민주당 당원동지 여러분,
부족한 저를 오랫동안 성원해주신 
많은 분들께 고개 숙여 감사드립니다.
저는 이제 평당원으로 돌아가
하나 되는 민주당, 
새로운 대한민국을 위해
백의종군하겠습니다.
나라와 국민과 당으로부터 받은 
은혜를 갚겠습니다.
함께 뛰던 동료들께 응원을,
저를 돕던 동지들께 감사의 인사를 보냅니다.
고맙습니다.
사랑합니다.
두고두고 갚겠습니다.",2.3K,533,148
"윤석열, 최재형 후보가 공수처의 윤석열 ‘고발 사주’ 수사를 불법 대선 개입으로 규정하고 공동 대응키로 했습니다. 
문재인 정부 검찰총장, 감사원장을 지낸 두 분이 나란히 감사원과 검찰을 배신하고 정치검찰, 정치 감사원장의 모델을 자임하더니 이번에는 국민을 배신하려 합니다.   
윤석열 후보는 불과 며칠 전까지 국정조사, 감찰 뿐 아니라 공수처 수사도 받겠다고 공언하지 않았습니까? 어제는 최재형 후보와 함께 공수처의 정당한 수사를 민주주의에 대한 폭거라고 말합니다. 며칠 전, 핏대를 올리며 국민을 겁박하던 윤석열과 어제의 윤석열 중 누구의 말을  믿어야 합니까? 정치인은 말과 행동이 달라서는 안 됩니다. 
대한민국의 정의를 바로세우겠다며 출마를 선언하던 최재형 후보는 증거가 명백하게 드러난 검찰 공작이 눈에 보이지 않습니까? 그런 선택적 정의로 정부의 합법적 정책을 감사해왔으니 정치 감사원장이라는 비판을 받는 겁니다. 
이 시간에도 현장에서 묵묵히 일하고 있는 감사원과 검찰 후배들을 욕보이지 마십시오. 이제 정치검찰, 정치감사라는 말은 이 땅에서 사라져야 합니다.   
윤석열 후보는 이미 피의자로 입건되어 수사를 받아야 할 처지입니다. 국기 문란의 범죄에 대해 해명할 일이 있다면 착실하게 수사부터 받는 게 우선입니다. 검찰총장 출신으로 부끄럽지도 않습니까?
마지막으로 경고합니다. 윤석열-최재형 두 후보가 ‘야합’하여 수사의 본질을 흐리고 왜곡하는 행위야말로 부당한 정치공세이자 또 다른 정치공작입니다. 우리 국민은 배신자들의 정치공작을 결코 묵과하지 않을 것입니다.",456,35,95
"지지해 주신 당원동지와 국민께 
진심으로 감사드립니다.
여러분의 선택을 겸허하게 받아들입니다. … See More",535,93,60
"이재명 후보도 홍준표 후보도 품격을 지키십시오.
차기 대통령을 선출하는 선거입니다. 대통령이 되기 위해 갖추어야 할 자질 중 가장 큰 한 덕목이 도덕성입니다. 대통령은 우리 아이들이 본을 삼아 배우는 자리이며 대외적으로 대한민국을 대표하는 상징이기에 더 그렇습니다.
저잣거리 시정잡배도 하지 못할 언행과 품행으로 어찌 대한민국을 대표하고 부모들이 보고 배우라 할 수 있겠습니까?
과거의 잘못은 철저하게 반성하고 다시는 그러지 않겠다고 사과하는 것이 우선입니다.
자기 눈에 든 대들보는 모른 체하고, 차마 입에 담지 못할 이전투구로 나라의 미래가 걸린 대선 판을 욕지기 판으로 만들어서는 안 됩니다. 
도덕성을 따지되 본질과 사실에 대해서 정중하고 엄정하게 말합시다. 부디 대선 후보로서 품격을 잃지 맙시다. 염치라는 게 있어야지 국민 보기에 부끄럽습니다.",380,123,54
"‘공작’은 은밀히 벌이는 일입니다. 동네방네 소문내며 벌이는 공작은 없습니다. 
윤석열 후보가 입건된 검찰 사주 고발, 선거를 위해 벌였던 총풍공작, 국정원 자금을 상납하거나 불법적으로 민간인을 사찰하는 따위의 일들을 세칭 일컬어 ‘공작’이라고 합니다. 
박지원 국정원장이 공익신고자 조모씨와 만남을 공개했습니다. 이 만남을 두고 윤석열 캠프는 ‘정치공작’을 주장합니다. 
두 사람의 만남 자체가 공작이라면 박지원 국정원장이 만난 숱한 사람들은 모두 공작정치의 대상입니다. 아무리 급하다고 미운 놈 고발장 남발하듯 아무데나 공작 딱지를 붙여서는 안됩니다. 
공작정치를 운운하려면 증거부터 제시해야 합니다. 윤석열 전 총장은 정치공작의 명백한 증거로 인해 현재 입건됐습니다. 착실하게 수사부터 받으십시오.  
본질을 흐리려는 물타기로 범죄를 감출 수 없습니다. 윤석열 후보는 국민께 진심으로 사과하고 스스로 정치에서 물러나십시오. 검찰이든 정치든 더 이상 ‘공작’은 사라져야 합니다.",289,23,70
"대구·경북 당원동지 여러분의 
지지와 성원에 깊이 감사드립니다.
여러분의 선택을 겸허히 받아드리며 
더 힘차게 달려가겠습니다.
도덕성, 안정감, 유능함, 확장성까지
네 박자를 모두 갖춘 필승카드! 
정세균을 끝까지 믿고 지지해 주십시오.
정권재창출 꼭 이뤄내겠습니다. 
반드시 승리로 보답하겠습니다.",248,57,58
"[정세균 대구경북 합동연설회 연설 전문]
존경하는 국민 여러분,
대구·경북 당원 동지 여러분,… See More",140,38,34
"정스트라다무스의 출현!  
제 예언이 점점 확실해져 갑니다.
저는 초지일관 윤석열 후보가 결코 출마하지 못할 것이라고 장담해왔습니다. 윤석열 후보 입건, 이제 후보라는 수식어를 붙이기도 민망해집니다.
윤석열 전 검찰 총장은 정치 검찰의 몰락을 보여주는 상징입니다. 검찰개혁은 이제 시작이며, 차기 정권에서 확실히 못을 박아야 합니다.
다음 정권에서 질서 있는 검찰개혁 반드시 완수하겠습니다. 
정스트라다무스의 2차 예언은 ‘홍 잡는 정’입니다.
홍준표 후보의 약점은 품격 없고 믿을 수 없는 정치인이라는 점입니다.
홍준표 후보를 잡기 위해서는 품격과 유능함, 도덕성과 안정감이 필요합니다. 거기에 확장성까지 갖추면 더할 나위 없는 것이죠.
도덕성, 안정감, 유능함, 확장성까지 네 박자를 갖춘 정세균이 ‘홍 잡는 정’이 되겠습니다.",298,44,43
"[빅테크 기업의 미래는 독과점이 아니라 끊임없는 혁신에 있습니다.]
빅테크 기업 규제 이슈로 시장의 논란이 가중되고 있습니다.
최근 금융당국은 네이버와 카카오 등이 제공하는 온라인 플랫폼에서 판매 목적으로 금융상품에 대한 정보를 제공한다면 광고가 아닌 중개로 봐야 한다고 판단하고 시정조치를 요구했습니다.
소비자 보호와 건전한 시장질서 유지를 위해 금융소비자법을 적용하겠다는 정부의 조치는 온당한 것입니다. 
그러나 규제는 양날의 칼입니다. 소비자를 보호하고 공정한 경쟁을 유도하는 합리적 규제는 필요하지만, 시장의 혁신을 가로막는 과도한 규제는 바람직하지 않습니다.
저는 평소 포지티브 규제시스템을 네거티브 규제로 전환하고, 신산업에 대한 사후규제 도입과 구시대적 갈라파고스 규제 폐지로 K-규제혁신 플랫폼을 완성하겠다고 말씀드려왔습니다.
동시에 새로운 형태의 독과점에 대한 합리적 해법도 모색돼야 합니다. 그런 의미에서 미국의 사례는 우리에게 시사하는 바가 큽니다. 
지난 6월 민주, 공화 양당이 공동 발의한 반독점 패키지 법안이 미 하원 법제사법위원회를 통과했습니다. 7월에는 바이든 대통령이 독과점적 시장구조를 개선하고 경쟁 제한 폐해를 시정하기 위한 행정명령에 서명한 바도 있습니다.
우리 빅테크 기업들이 플랫폼 기업으로서 지배적 위치를 활용하여 과거 재벌기업이 일삼던 문어발식 확장의 악습을 재연해서는 안됩니다. 끊임없는 혁신으로 새로운 시장을 개척하는 것이야말로 빅테크 기업의 사명이 되어야 합니다.
이번 사안을 계기로 정부와 빅테크 기업, 이해관계자들이 함께 머리를 맞대고 혁신과 공생의 길을 찾길 바랍니다. 국회의 입법 과정을 통해 미비한 제도를 보완하고 시장의 충격을 완화할 수 있는 제도적 장치도 마련되어야 할 것입니다.",174,22,57
"매년 9월 10일은 세계 자살 예방의 날입니다.
우리나라 1인당 국민소득이 3만 달러를 넘었고 세계 10위권 경제대국으로 올라섰지만, 수년째 OECD 국가 중 자살률 1위라는 부끄러운 자리를 차지하고 있습니다.
특히 우려스러운 것은 국내외 전문가들이 코로나19 장기화에 따른 경제·사회적 영향으로 향후 2~3년 이후 자살 급증 가능성을 예측하고 있다는 점입니다.
실제 최근 들어 2030 젊은 세대와 여성의 자살률이 증가하고 있다는 분석입니다. 재난은 모두에게 평등하지 않고 사회적 기반이 취약한 약자에게 더 가혹합니다. 
자살 공화국이라는 오명, 더 이상 외면할 수 없습니다.
저는 총리 재임 때부터 문제 해결을 위해 <자살예방정책위원회>를 주관하며 자살 예방 관련  정책을 추진했습니다. 코로나19에 따른 자살위험을 일반국민, 취약계층, 고위험군 등 3단계로 세분화하고 대상별로 맞춤형 대책을 마련했습니다.
자살은 더 이상 개인의 문제가 아닌 사회, 나아가 국가적 문제입니다.
국가적 차원의 정책대안과 노력이 필요합니다. 정세균, 자살예방을 위한 획기적 방안을 강구하겠습니다. 
덧붙여 여러분의 작은 관심과 따뜻한 말 한마디가 자살 예방에 큰 힘이 됩니다.",141,19,43
