post,like_count,comment_count,share_count
"오늘 제 캠프 이필형 참모가 언론 인터뷰를 했습니다.
알리바이 증거도 제시했고
박지원.조성은이 만난 그날 자신의 모든 일정도 공개 했습니다.
박지원.조성은을 지금까지 한번도 만난 일이 없고
조성은 이라는 분은 처음듣는 이름이라고 밝혔습니다.
이쯤대면 윤후보 캠프에서 허위 정치공작을 한 국회의원 두명과
네거티브 대응팀의 검사출신 모 변호사는 퇴출 하십시오.
모든 것을 용서 할테니 그 세사람은 캠프에서 쫓아 내십시오.
그렇게 하지 않으면 나중에 형사처벌 될 겁니다.",282,6,18
"참  딱한 사람들 입니다.
자신들이 검찰 재직시에 한 것으로 의심을 받는 검찰발 정치공작 사건을 탈출하기 위해서
당의 공조직을 이용하고
남의 캠프를 음해하고 
나아가 슬하의 국회의원까지 법사위에  동원 하는 것을 보니
그건 새 정치가 아니고 구태중 구태정치 입니다.
한번만 더 내 캠프를 음해하면 
그때는 각오 하십시오.
그런 니전투구(泥戰鬪狗)싸움에 
내 캠프를 끌어 들이지 마십시오.
치사하게 하지 맙시다.
당당하면 숨지 말고 사내답게 대처 하십시오.",1.3K,76,76
이대로 내년 3.9까지 가겠습니다.,1.9K,99,96
"숙고 끝에 영입 했는데 지지자 분들께서 비판이 봇물처럼 쏟아지네요.
이영돈 PD와 방금 상의 해서 일단 영입을 보류 하기로 했습니다.
인사라는게 참 힘든 작업 입니다.",2.3K,132,63
"모후보측에서 고발사주 사건에 저의 캠프 관련 인사를 음해하는 것에 이어
경남지사 시절에 제가 직원들에게 재떨이를 집어 던졌다고 거짓 소문도 낸다고 합니다.
담배도 피우지 않는데 재떨이 운운 하는 것은 참 어처구니 없는 발상 입니다.
누가 그런 거짓 소문을 내는지 다 알고 있습니다.
아무리 다급해도 당당하게 하십시오.
그건 자멸의 길 입니다.",1.2K,60,32
"jp희망 캠프에 미디어 총괄 본부장으로 이영돈 PD를 영입 했습니다.
논란이 있을수 있지만 미디어 대처 능력은 탁월하신 분이라고 합니다.
저는 후보가 모든 것을 결정하는 구조로 캠프를 운영 합니다.
문화산업 총괄 본부장으로 여명숙 전 게임물 관리 위원장도 같이 하기로 했습니다.
외신 대변인으로는 권민영 중앙 여성위원회 부위원장님도  도와 주기로 했습니다.
세분께 감사 드립니다.",1.3K,188,79
"헛된 꿈은 패가 망신을 초래 합니다.
고발사주 사건에 마치 우리측 캠프 인사가 관여 된듯이 거짓 소문이나 퍼트리고 
특정해 보라고 하니 기자들에게 취재해 보라고 역공작이나 하고
참 잘못 배운 못된 정치 행태 입니다.
당당하게 정도로 나가 십시오.
구태들 속에 있다 보니  같이 물들지 마시고요.
누가 거짓 소문 퍼트리고 있는지 다 알고 있습니다.
그건 야당내 암투가 아니라 본인과 진실의 충돌에 불과 합니다.
고발사주 사건에 이어 오늘 또 검찰을 가족 보호수단으로 악용 했다는 검찰 사유화 문건이 터졌습니다.
정도로 대처 
하십시오.",1.3K,54,74
"늘 상대후보가 압도적 우위로 나오던 데일리안 조사에서도 앞서 나가기 시작 했고 
양자 대결에서도 현저한 우위를 확보 했습니다.
국민여러분! 감사합니다.",1.6K,65,107
방금  발표된 jtbc 여론조사 입니다.,2.2K,84,119
인천에서도 돌풍입니다.,1K,40,20
TK 50년 미래 5대 공약입니다.,1.1K,45,80
"연일 발표되는 여론조사 마다 골든크로스를 이루고 있으나 
아직 국민의힘 지지층에서는 밀리고 있다고 합니다.
확장성 면에서는 큰차이를 보이고 있어서 이젠 집토끼 마음 돌리기에 나서야 겠습니다.
오늘 오후 3시 대구 동성로 야외무대에서  TK  재도약 5대 공약을 발표 합니다.
한국 현대사를 이끌어온 TK지만 
20여년 동안 전국 지역생산력(GRDP)이 꼴찌 입니다.
TK 미래 50년 구상을 발표 하고
재도약하는 TK를 만들도록 하겠습니다.",1.5K,71,68
어머님께서는 96.4 총선때 제가 송파갑에서 국회의원 당선된 직후 2주만에 작고 하셨는데 그래도 외가에는 선산이 있어서 선산에 모셨습니다.,1.5K,36,28
"추석을 앞두고 아버님 묘소 인사 왔습니다.
47년전에 작고 하시어 선산이 없어 창녕 남지 공동묘지에 안장 하였습니다.",2.5K,46,45
"박찬주 대장님의 우국충정에 진심으로 감사 드립니다.
잘 모시고 반드시 정권을 쟁취 하여 함께 선진국 시대를 열겠습니다.
거듭 감사 드립니다.",1K,33,27
"박정희 전대통령 생가에 왔습니다.
대통령이 되면 박정희 전대통령의 고향인 구미에 업적에 걸맞는 박정희 기념관을 건립 하겠습니다.
함께 해주신 구미 시민,당원동지 여러분 고맙습니다.
구자근 의원님,구미시의회 의장님,시의원님,구미갑 지역 당원 여러분들도 고맙습니다.",1.7K,57,63
"TK,신공항 예정 부지에 왔습니다.
TK미래 100년을 좌우할  중차대한 사업 입니다.
브리핑 해주신 관계자 여러분,참석해 주신 의성,군위군민 여러분 ,지지자 여러분  감사 합니다.
이철우 경북지사님,군위.의성군수님,군의회 의장님,도의원,군의원님들도 고맙습니다.",1K,30,31
"자고 나서 다시 생각하니 이재명측 대변인의 허위 성명에 대해서 이번에는 대응 하지 않기로 했습니다.
정치인들 성명에 고소.고발로 응징하기 보다는 국민적 판단에 맡기는 것이 옳다는 생각이 들었습니다.
어떤 말도 듣겠습니다
어떤 모욕도 대통령이 되기 까지 참겠습니다.
그만큼 정권교체가 절박하기 때문 입니다.
하기사 삶은 소대가리 소리 듣고도 가만히 계시는 분도 있는데
그 정도는 참아야 겠지요.
내가 오해를 벗기 위해 지금 모두 장년의 안락을 누리고 있는 하숙집 친구들을 사법절차로 끌어들일 수는 없지요.",2.3K,96,80
"50여년전 대학교 1학년때 하숙집에서 있었던 에피소드를 2006년 제 자서전에 쓴 내용은 
제가 한것도 아니고 공모한 것도 아닌 
하숙집에 같이 있던 S대 하숙생들이 
그들끼리 한일을 말리지 못해서 
잘못했다는 취지로 쓴 글을
지난 탄핵대선때 드루킹을 동원하여 나를 성폭행범으로 몰고
대선후보들도 그 책도 보지 않고 가세하여 나를 성폭행범으로 공격한 일이 있었습니다.
그걸 좌파들은 여태 돼지 발정제로 둔갑시켜 나를 공격해 왔는데
이번에 이재명측 대변인이 나를 또 성폭행 자백범으로 몰았습니다.
더이상 묵과 할수도 없고 참기도 어렵습니다.
차제에 이런 작태는 뿌리 뽑기 위해
허위사실 공포로 선거법을 위반하고
명예훼손을 하였다는 혐의로 고발하고
일벌백계로 이번에는 그의 국회의원직이 박탈 되도록
엄중 책임을 묻겠습니다.
낙선을 목적으로 허위사실을 공포 하면
법률상 유죄가 되면 무조건 국회의원직은 박탈 됩니다.
이번에는 그냥 두지 않을 겁니다.",3.4K,68,149
"입당할 때부터 당대표와 갈등이 있었고
당에 들어와서는 의원들 줄세우기 구태정치로 말이 많더니
경선 토론회 회피 하면서 학예회만 열게 했고 
이미 확정된 경선 룰 시비로 헛된 갈등만 키웠습니다.
급기야 개인 문제인 고발사주 사건을 당까지 물고 들어 감으로써
당이 앞으로 큰 피해를 보게 생겼습니다.
급조된 지지율은 거푸집이나 다름 없습니다.
벽돌처럼 차근차근 쌓아 올리지 않은 지지율은 한순간의 착시 현상에 불과 합니다.
지금부터라도 당을 생각한다면 스스로 헤쳐 나가 십시오.
그게 사나이 대장부 입니다.
그 문제는 윤석열.손준성.김웅의 개인 문제이지 
우리당과는 아무런 관련이 없습니다.
민주당은 우리당을 공범으로 엮을려고 또 악성 프레임을 짜고 있습니다.
오늘 대구와서  정권교체보다 개인의 안위만 생각하는 분들이 있다고 하셨는데
제가 보기엔 그게 바로 그대인 것 같네요.
핑계로 성공한 사람은 김건모씨 밖에 없습니다.",2.2K,53,97
"경주 중앙시장에서 상인분들이 환영해 주셨습니다.
함께 해 주신 경주시민 여러분,당원 동지 여러분, 김석기 의원님,경주시장님,도의원 ,시의원 여러분 모두 고맙습니다.",1.3K,57,45
"포항 죽도 시장입니다.
5년전 탄핵대선때 처럼 인파가 구름처럼 몰렸습니다.
무야홍,무대홍을 외치는 시장 상인분들을 보니 지지율 치솟는 것이 실감 납니다.
함께 해주신 포항 시민 ,당원 동지 여러분,김정재 의원님 포항시장님 도의원,시의원님 모두 고맙습니다.",1.9K,72,64
"후보 개인의 문제에 당이 말려 들어서는 안됩니다.
후보자 개인이야 훌쩍 떠나 버리면 그만이지만
당은 중차대한 대선을 치루어야 합니다.
이 사건은 의외로 단순 합니다.
어느 검사가 작성 했건 간에 그 고발장이 김웅 당시 송파갑 선거 후보자에게 손검사 명의로 전달 되었고
김웅 의원이 조성은이라는 제보자의 손을 거쳐  고발장 관련 서류를 당에 전달 하고
당에서 그중 일부 고발장을 누군가가 각색하여 대검에 제출한 것으로 지금까지 나온 언론 보도내용 입니다.
김웅 의원만 알지 당은 그 고발장 내용이 검찰에서 보낸 것인지 알수가 없었을 건데
당사자들이 자꾸 변명하고 기억 없다고 회피 하는 바람에  일이 커지고 있고 당도 말려 들어가고 있습니다.
의혹의 당사자들은 팩트를 국민 앞에 명명 백백히 밝히고 
당을 끌고 들어 가지 마시기 바랍니다.
정치공작은 거짓의 사실을 두고 하는 것이 공작이고
팩트가 있다면 그 경위가 어찌 되었건 간에 그건 공작이 아니고 범죄 입니다.
당은 소도(蘇塗)가 아닙니다.",1.6K,49,107
"이재명 후보께서 자신과 홍준표는 대척점에 있고 
너무나 다른점이 많아 국민들이 선택 하기가 참 쉬울거라고 말하는 것을 봤습니다.
그렇습니다.
우선 인성(人性)이 다르고
가족 공동체에 대한  인식이 다르고
무상 연애 스캔들이 다르고
막말(사실 막말 한바도 없지만)과 쌍욕이 다르지요.
국민들이 참 선택하기 쉬운 대선이 되겠네요.
무야홍을 넘어 무대홍으로 쉽게 갈수도 있겠네요.",3.1K,79,104
"국채보상운동 기념공원에서 국가부채 1000조시대에 또다시 나라를 거덜 낼려는 이재명후보를 비판하고
서문시장에 가서 수많은 군중들의 환호를 받으면서 서민경제 회복을 약속 했습니다.",1.8K,81,102
"곧 대선을 앞둔 국정 감사가 시작 됩니다.
문정권의 실정과 비정을 최고조로 공격하여 정권교체의 필요성을 국민들에게 알려야 하는 중차대한 시기 입니다.
국회의원들이 각 캠프에 나가 국회는 등한시 하고 경선에만 몰입하여 국정감사를 소흘히 할수 밖에 없는 상황이 되었습니다.
실제로 지난 부동산 비리파동때 관련자 대부분이 특정캠프 분들이고
최근에 낯 뜨거운 고발 사주 의혹 사건 연루자로 보도 되는 분들도 특정캠프에 속해 있습니다.
각 캠프에 나가 있는 국회의원 분들은 핵심 요원만 남고 모두들 국회로 돌아 가셔서 국정 감사에 전력을 다 해 주시기 바랍니다.
국회의원 머릿수로 경선하는 시대는 이미 지났습니다.
그게 나라와 국민,당원들을 위하는 길 입니다.
경선은 당원과 국민들에게 맡기시고 국정에만 전념해 주십시오.
그게 올바른 국회의원의 길 입니다.",1.7K,39,78
"26년 정치 하면서 대통령후보를 면접하는 것도 처음 봤고 또 면접하며 모욕 주는 당도 생전 처음 봅니다.
공천관리위라면 이해가 가지만 
공천이 아닌 경선관리위에 불과 합니다.
세명 면접관중 두명을 반대진영 사람을 앉혀 놓고
외골수 생각으로 살아온 분들의 편향적인 질문으로 후보의 경륜을 묻는 것이 아니라 비아냥 대고 조롱하고  낄낄댄 22분이였습니다.
이런 행사는 더이상 참여 하기 어렵습니다.
그래도 재밌긴 했습니다.
대통령 선거는 전국을 돌아 다녀야 하는 선거 입니다.
지방 일정 분주한 후보들 발목 잡는 이런 행사는 더이상 자제해 주십시오.
토론없는 경선 관리는 무의미한 경선관리 입니다.",3.1K,84,144
MBN.매경 오늘밤 발표 여론조사 입니다.10%  차이로 이젠 앞서기 시작했습니다.,1.8K,81,74
이젠 공중파에서도 앞서기 시작 했습니다.,3K,77,100
"대선은 우리끼리만 투표 하는 것이 아닙니다.
그렇게 하면 기껏해야 35% 내외에 불과 합니다.
중도층,진보층,호남,2~40대 표심도 가져 오는 확장성이 있어야 하고 
또 이분들로부터 거부감이 없어야 이깁니다.
이제 남은 곳은 60대 이상과 TK 밖에 없습니다.
이번주는 jp희망로드 마지막 방문지인 대구.경북으로 갑니다.
싹쓸이 하고 오겠습니다.",2.1K,79,57
"제5차 골든 크로스 입니다.
이젠 오차범위 밖으로 나갑니다.",1.3K,35,129
"제 4차 골든 크로스 입니다.
이젠 안정적으로 골든 크로스로 갑니다.",1.5K,45,41
"세번째 골든크로스! 이젠 오차범위 밖 우세로!
추석민심 후에는 압승 구도로 갑니다.",2.1K,91,51
"경기도의 차베스도 뒤로 하고
당내 경쟁자도 뒤로 하고 
오늘도 저는 내길만 갑니다.
어제 국민상대로 호통이나 치는 모습은 보기 참 안타까웠습니다. 
호통개그로 성공한 사람은 박명수씨 뿐입니다.
저는 앞만 보고 갑니다.
대한민국의 미래만 보고 갑니다.
도덕성,정책능력,토론,소통 모두 상대방들을 압도 하고
오로지 우리나라와 우리국민들 만을 위하는 대한민국의 대통령이 되겠습니다.",2.3K,67,95
"적폐수사를 지휘 하면서 문재인 정치공작의 선봉장을 자처하던 분이
고발사주 사건에 아직 직접 연루 되었다는 혐의도 없는데
갑자기 중대발표 할듯이 언론 앞에 나타나
메이저 언론도 아닌 허접한 인터넷 언론이 정치공작 한다고 언론과 국민앞에 호통 치는 것은
든든한 검찰조직을 믿고 큰소리 치던
검찰총장 할때 버릇 그대로 입니다. 
네거티브 대응은 그렇게 하는게 아닙니다. 
오늘은 실언이 아니라 옛날 버릇이 나와 큰 실수를 한 겁니다. 
여기는 군림하는 검찰이 아니라
국민을 받들어 모시는 정치판 입니다.",1.9K,64,92
"진주의료원을 폐쇄한 것은 강성노조의 패악 때문이라는 것은 국민들이 이미 다 알고 있습니다.
무상급식을 반대한 것이 아니라 경남 교육청이 무상 급식 예산을 수백억씩 지원 받고도 도의 감사를 거부 하는 바람에 감사를 받을때 까지 1년간 지원 중단을 했다가 
감사를 받겠다고 해서 지원 재개한 사안에 불과 합니다. 
내용도 모르고 우기는 것이 꼭 차베스 같습니다.
수술실 TV설치 반대를 기득권 옹호 운운 하는 것을 보면서 
저런 증오심에 가득찬 사람이 대통령이 되면 나라가 어떻게 되겠나 하는 걱정이 앞섭니다.
인성(人性)이 삐뚤어 지면 세상 모든 것이 삐뚤어 지게 보이는 법 입니다.
의료과실 문제는 
입증 책임을 전환하여 의사들에게 무과실 입증책임을 지우면 될 일을 
모든 의사들을 잠재적 범죄자로 간주하여 수술실에 cctv를 설치 하는 것은 
오히려 중환자 수술 기피로 중환자 의료 공백이 생길 수도 있는데
증오심으로 그런 정책을 포플리즘으로 추진한 것은 잘못 이라는 겁니다.
대통령을 하고 싶거든 우선  인성(人性)부터 고치 십시오.",2.5K,67,116
두번째 골든 크로스 여론조사 입니다.,1.8K,63,74
어제 당 행사에서 윤석열 후보와 첫 대화를 했습니다.,1.6K,90,64
"석유 부국이였던 베네스웰라를  
국민 10%를 국외 탈출케 하고
무상 포플리즘으로 자기 나라를 세계 최빈국으로 몰아 넣은 우고 차베스처럼
경기도를 망치고 대한민국을 거들 낼려고 차베스의 무상 포플리즘과 똑같은 기본시리즈로 
오늘도 국민들을 현혹 하는 이재명 후보는 이제 그 질주를 멈추어야 합니다.
잘못된 인성(人性)으로 가족 공동체를 파괴하고
이젠 허무맹랑한 기본 시리즈로 국민들 사이도 이간질 하는 이재명 후보는 그만 각성 하시고 자중 하시기 바랍니다.
국가부채 1000조 시대가 되었습니다.
고스란히 그 빚은 우리 후손들이 갚아야 합니다.
자칫하면 소득의 절반을 빚 갚기 위해 국가에 바쳐야 하는 시대가 올수도 있습니다.
정상적인 공약으로 대선을 치릅시다.
국민들은 어리석지 않습니다. 
경기도의 차베스 측에서  기껏 한다는 반박이 우방국 외교적 결례 운운 입니까?",2.6K,41,143
"오늘자로 역선택의 오해에서 벗어나고 
대체재에서 독립재로 되었습니다.
경기도의 차베스를 잡을 사람은 저밖에 없지요.
나라를 차베스에게 넘기면 되겠습니까?
토론,강단,추진력, 정직성,정책능력,도덕성에서 경기도의 차베스를 압도 하겠습니다.",3K,94,96
"세계 최고의 삼성전자 회사를 방문 하여 애로사항을 청취하고
경기도당에서 당원과 기자 간담회를 가졌습니다.
경기도의 차베스를 잡은날 경기도 방문이라서 뜻이 깊습니다.",1.9K,69,72
오늘자 데일리안 여론 조사 입니다. 이제 역선택 운운 하는 사람은 없겠지요.,3.8K,106,189
"이래도 역선택이라고 할 겁니까? 젊은층,
호남에서도 이렇게 지지 받는 후보는 우리당 역사상 없었습니다.",1.1K,56,49
"정동진 모래시계 앞입니다.
모래시계의 뜻은 권력의 유한성(有限性)을 말 합니다.
가득차 있던 모래가 시간이 지나면서 아래로 떨어지고 종국에는 텅빈 상부만 남게 되면서 그 권력은 끝난다는 그런 뜻입니다.",1.7K,73,52
"넷플릭스에서 드라마 D.P.를 봤습니다.
군내 가혹행위를  주제로 다룬 드라마인데 
픽션이지만 군내 가혹행위가 아직도 없다고는 할수 없을 겁니다.
저도 군부대에서 방위소집을 1년 6개월 경험해 봤기 때문에 고참들의 가혹행위는 그때도 참 심했습니다.
군부대 출퇴근 하면서 방위라고 군인 대접도 못 받고
매일 고참들한테 두둘겨 맞고
하루종일 사역하고
군기교육대 들어온 사병들과 봉체조 하기가 일쑤 였습니다.
나라를 지킬려고 간 군대에서 우리 젊은이들이 그런일을 당한다는건 참 가슴 아픈 일 입니다.
그래서  일당백의 강군(强軍)을 만들기 위해 모병제와 지원병제로 전환을 검토한다고 공약 했습니다.
젊은이들을 징병의 멍에에서 풀어줄 때가 이젠 되었다고 보기 때문에 그런 공약을 한 겁니다.",2.3K,43,77
"청부 고발사건 추이를 보니 자칫하면 당도 말려 들것 같은 느낌도 받습니다.
김웅 의원과 손준성 검사의 텔레그램 내용을 보니 총장의 묵시적 지시 없이 그게 가능 했겠느냐  하는 의구심이 강하게 들고
그런 내밀한 것이 서로 오갔다면 사전교감 없이 불쑥 보낼수가  있었을까요?
받아 놓고 방을 폭파하라고 했다는 것도 위법의 중대성을 인지 했다고 보지 않을수 없지요.
관련 당사자들은 더이상 당에 누를 끼치지 말고
공작정치 운운 하시지도 말고
겸허하게 대국민 고백을 하고 
수습절차로 들어 가시기 바랍니다.
수사가 본격적으로 시작되어 전모가 드러나면 
후보보다 당이 입을 상처가 더 클수도 있습니다.",1.5K,47,107
"골든크로스 여론 조사가 나온 첫날 저는 강원지역을 방문 합니다.
정동진 모래시계 공원을 방문하여 정의가 강물처럼 흐르는 세상을 만들겠다는 각오를 다시 다지고
당원동지 여러분들과 강원 도민들을 만납니다.
국민들로부터 고른 지지를 받는 대통령이 되고자 합니다.
보수.진보.중도로 부터 고른 지지를 받는 대통령이 되고자 합니다.
특정지역이 아닌 대한민국 전지역에서 고른 지지를 받는 국민의 대통령이 되고자 합니다.
젊은 세대에게는 꿈과 희망을 주고
장년 세대에게는 평화와 안락을 주는
푸근한 아버지 같은 대통령이 되고자 합니다.
골든 크로스를 만들어 주신 당원 동지 그리고 국민 여러분!
정말 고맙습니다.
더욱 박차를 가해 경선에서 압승 하고
국민의 대통령이 꼭 되겠습니다.",1.9K,66,85
방금 발표된 여론 조사 입니다.,3.6K,112,264
"드디어 골든크로스 이루었습니다.3.4%차이로 1위 했습니다.
처음으로 골든 크로스를 이룬 여론 조사 입니다.
20대,30대,40대에서 상대후보 보다 평균 14%나 앞서고
호남에서도 앞서고
전국 골고루 앞서고
충청지역과 
60대에서만 지고 있지만 
확장성 면에서는 상대를 압도 한다고 합니다.
그러나 충청과 60대도 곧 바로 돌아 올것으로 봅니다.
지지율 50%를 목표로 뛰겠습니다.
질풍같이 달려 나가겠습니다.
이재명 당할 사람은 홍준표밖에 없습니다.",3.2K,86,132
"선수가 심판을 따르라고 할때는 심판의 공정성이 전제 되었을때 하는 말입니다.
심판이 특정 선수의 편을 들고 있을때 다른 선수들이 할일은 그 심판을 기피하거나 그 경기를 보이콧도 할수 있다는 것은 상식에 속 합니다.
공정성만 회복하면 그 누구도 심판의 판정에 이의를 제기 하지 못 합니다.
이미 끝난 게임의 룰을 다시 특정선수를 위해 고치겠다고 하는 심판을 어찌 믿고 어떻게 게임에 임하라는 겁니까?
당원과 국민들이 보고 있습니다.
옳은 결정이 있기를 기대 합니다.",1.3K,42,69
"이제 윤석열 후보 한사람만 남았다는데 
그래도 미련이 남아 역선택 운운 하는 것은
오직 한사람만을 위한 룰 개정을 하겠다는 겁니까?
그건 스스로 불공정을 자인하는 것 밖에 되지 않습니다.
대세를 거스르는 어처구니 없는 행동 입니다.
대세를 거스르는 어떤 변형된 결정도 수용 할수 없습니다.
그건 당원과 우리 국민들이 용납치 않을 겁니다.
후보들 3대8 의견이면 그건 이미 결정된 겁니다.
이미 결정된 경준위 안을 받아 들이시고
순리로 가십시오.
정치 조직은 관료 조직과 다릅니다.
찍어 누르면 따라올 것이라는 것은 관료사회에서나 통하는 지도력 입니다.
여기는 정당정치를 하는 곳이라는 것을 명심 하십시오.",1.4K,47,31
"추석전 골든 크로스가 빈말이 아니라는 것을 보여주는 오늘자 여론 조사 입니다.
그런데 이 매체는 교차투표와 역선택도 구분 못하는 해설이니 그림만 보십시오.",1.4K,84,54
"부당한 것을 보면 참지 않고
잘못된 것을 보면 피아를 가리지 않습니다.
그것이 제가 살아온 방식 입니다.
비록 오늘 일부로 부터 비난 받더라도
그런것 두려워 할말을 못하진 않습니다.
오늘 서약식 당 행사에 불참 하는 것은
공정성을 잃은 경선관리는 부당하기 때문 입니다.
당은 관료조직이 아닙니다.
당원동지 여러분!
국민 여러분!
다시 한번 추석전 골든크로스를 다짐 합니다.
이재명 대적할 사람은 홍준표밖에 없습니다.
그리고 선거 관리는 공정이 생명 입니다.",1.8K,55,34
"곧 드러날 일을 공작정치 운운으로 대응하는 것은 기존 정치인들이 통상 하는 무조건 부인하고 보자는 배 째라식  대응 입니다.
정치를 처음 시작하는 신인 답게 깔끔하게 대응 했어야 했습니다.
메세지 내용을 탄핵 하다가 이제는 메신저를 탄핵 하는등 갈팡질팡 대응도 적절치 않습니다.
차라리 총장시절  총장 찍어 내기가 하도 심해 그렇게 라도 대응 할수밖에 없었다라고 솔직하게 대응 했더라면 상황이 달라 졌을 겁니다.
국민들도 이해하고 넘어갈 수도 있었습니다.
이제 진실게임에 들어가 버려 일이 커질대로 커졌습니다.
비록 많은 주워 담기 어려운 말들을  해 버렸지만
지금이라도 진실을 고백하고 대국민 사과를 하십시오.
세상에는 비밀이 없고
한국 정치판도 참 맑아 졌습니다.
정직하고 거짓말 하지 않는 대통령을 
국민들은 원하고 있습니다.",1.5K,78,58
"국민적 관심사인 토론은 특정후보 때문에 하지 않고
학예회 같은 행사만 할려고  전국을 돌아 다니는 후보의 발목을 잡는 것은 유감 입니다.
대통령 후보를 면접 하겠다는 발상도 어처구니 없습니다. 
나는 여태 이런 대통령 경선 관리는 처음  봅니다.
후보들 일정도 고려해 주시고 체면도 좀 세워 주십시오.",1.5K,78,64
