sentence,like_count,comment_count,share_count,date,comment,score,ratio,백신,부동산,북한,재난지원금,청년,문재인,윤석열,이준석,이재명,복지,접종,노조,기업
"-조사개요-
조사의뢰 : 뉴스토마토
조사기관 : 미디어토마토
조사일시 : 2021년 9월 11일~12일
조사대상 : 전국 만 18세 이상 남녀
조사방법 : ASR(RDD) 무선 전화 조사 방식
표본크기 : 1006명
응답률 : 2.5%
가중값 산출 및 적용방법 : 성별·연령별·지역별 가중값 부여
   (2021년 7월말 행정안전부 주민등록 인구 기준) [셀가중]
표본오차 : 95% 신뢰수준에서 +_3.1%p
※자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조",776,51,48,2021-09-16 00:00:00,"['조사', '개요', '조사', '의뢰', '뉴스', '토마토', '조사', '기관', '미디어', '토마토', '조사', '일시', '2021년', '9월', '11일', '12일', '조사', '대상', '전국', '만', '18', '세', '이상', '남녀', '조사', '방법', 'ASRRDD', '무선', '전화', '조사', '방식', '표본', '크기', '1006', '명', '응답', '률', '25', '가중', '값', '산출', '및', '적용', '방법', '성', '별', '연령', '별', '지역별', '가중', '값', '부여', '2021년', '7월', '말', '행정안전부', '주민등록', '인구', '기준', '셀', '가중', '표본', '오차', '95', '신뢰수준', '에서', '31', 'p', '자세한', '사항', '은', '중앙', '선거', '여론조사', '심의', '위원회', '홈페이지', '참조']",2.5614903955230592,0.89,,,,,,,,,,,,,
추석 민심이 지나면 더 기울어 질겁니다.,1.2K,39,62,2021-09-16 00:00:00,"['추석', '민심', '이', '지나면', '더', '기울어', '질', '겁니다']",-0.49467996454893864,-0.26,,,,,,,,,,,,,
"jp희망 편지 23 
자영업자.소상공인 분들의 극단적인 선택이 줄을 잇는 비극적인 사태가 계속 되고 있습니다.
그런데도 문정권은 코로나 대출연장은 더이상 없다고 협박만 하고 있고
아무런 대책 없이 자영업자.소상공인 분들을 죽음으로 몰아가고 있습니다.
국민연금을 동원해 막바지에 몰린 이 분들에게 무이자로 장기 대출을 해주고 
그 이자는 정부예산으로 보전해 주는 자영업자.소상공인 재기 대책을 마련 하겠습니다.
현금 나누어주기 포플리즘이 아니라
진정한 자영업자.소상공인 재기 대책은 
위드코로나와 함께 
국민연금을 이용한
정부 이자지원의 대출제도를 도입하여
이분들의 고통을 함께 하겠습니다.",898,35,70,2021-09-16 00:00:00,"['jp', '희망', '편지', '23', '자영', '업자', '소상', '공인', '분', '들', '의', '극단', '적', '인', '선택', '이', '줄', '을', '잇는', '비극', '적', '인', '사태', '가', '계속', '되고', '있습니다', '그런데도', '문', '정권', '은', '코로나', '대', '출연', '장', '은', '더', '이상', '없다고', '협박', '만', '하고', '있고', '아무런', '대책', '없이', '자영', '업자', '소상', '공인', '분', '들', '을', '죽음', '으로', '몰아가고', '있습니다', '국민연금', '을', '동원', '해', '막바지', '에', '몰린', '이', '분', '들', '에게', '무', '이자', '로', '장기', '대출', '을', '해주고', '그', '이자', '는', '정부', '예산', '으로', '보전', '해', '주는', '자영', '업자', '소상', '공인', '재기', '대책', '을', '마련', '하겠습니다', '현금', '나누어주기', '포', '플', '리즘', '이', '아니라', '진정한', '자영', '업자', '소상', '공인', '재기', '대책', '은', '위드', '코로나', '와', '함께', '국민연금', '을', '이용', '한', '정부', '이자지', '원', '의', '대출', '제도', '를', '도입', '하여', '이분', '들', '의', '고통', '을', '함께', '하겠습니다']",-6.800293145427392,-2.18,,,,,,,,,,,,,
"당에서 공명선거 추진단을 만들어 놓고
특정후보 옹호나 하면서
그 후보측에서 경쟁후보 진영을 거짓으로 허위 공작을 한 것이 밝혀져도
아무런 페널티나 제지도 하지 않는 것이 공명선거 추진단의 책무 입니까?
애초부터 특정후보 진영에 붙어 있는 사람을 그 자리에 앉힌 것도 이해하기 어려운 인사 였는데 
선관위 위원장도 그렇고 공명선거 추진 단장도 그렇고
당 운영이 왜 이렇습니까?
이래가지고 공정 경선이 되겠습니까?
현역이 입당하면 당협 위원장을 교체해 주는 것이 상식인데
김태호.권성동의원은 교체해 주고
나는 지금 내지역구 원외 당협위원장이 반대 진영에 가서 경선 운동을 하고 있는데
두달이 지나도 아직도 미적미적 하면서 당협 위원장 교체를 해주고 있지 않는 것도 공정 경선 입니까?
공정하게 좀 합시다.",1.4K,49,49,2021-09-15 00:00:00,"['당', '에서', '공명', '선거', '추진단', '을', '만들어', '놓고', '특정', '후보', '옹호', '나', '하면서', '그', '후보', '측', '에서', '경쟁', '후보', '진영', '을', '거짓', '으로', '허위', '공작', '을', '한', '것', '이', '밝혀져도', '아무런', '페널티', '나', '제지', '도', '하지', '않는', '것', '이', '공명', '선거', '추진단', '의', '책무', '입', '니까', '애초', '부터', '특정', '후보', '진영', '에', '붙어', '있는', '사람', '을', '그', '자리', '에', '앉힌', '것', '도', '이해', '하기', '어려운', '인사', '였는데', '선관위', '위원장', '도', '그렇고', '공명', '선거', '추진', '단장', '도', '그렇고', '당', '운영', '이', '왜', '이렇습니까', '이래가지고', '공정', '경선', '이', '되겠습니까', '현역', '이', '입당', '하면', '당협', '위원장', '을', '교체', '해', '주는', '것', '이', '상식', '인데', '김태호', '권성동', '의원', '은', '교체', '해', '주고', '나', '는', '지금', '내', '지역구', '원외', '당', '협', '위원', '장이', '반대', '진영', '에', '가서', '경선', '운동', '을', '하고', '있는데', '두', '달이', '지나도', '아직도', '미적미적', '하면서', '당협', '위원장', '교체', '를', '해주고', '있지', '않는', '것', '도', '공정', '경선', '입', '니까', '공정하게', '좀', '합시다']",-8.387469746302296,-2.64,,,,,,,,,,,,,
"서울대 사회과학대 학생회 초청으로 특강을 가서 10분 기조발제 하고 1시간 20분 질의 응답 시간을 가졌습니다.
수재들 답게 질문이 예리했습니다.",1.1K,41,53,2021-09-15 00:00:00,"['서울대', '사회과학', '대', '학생회', '초청', '으로', '특강', '을', '가서', '10분', '기', '조발', '제', '하고', '1시간', '20분', '질의', '응답', '시간', '을', '가졌습니다', '수재', '들', '답', '게', '질문', '이', '예리했습니다']",0.42481081552739614,0.17,,,,,,,,,,,,,
"대검 차장출신등 로펌 수준의 네거티브 대응팀을 만들어 놓고 
기껏 하는 짓이  막가파식 정치공작이나 하면서
아니면 말고 식으로 회피하는 것은 
책임있는 정치인의 태도가 아닙니다.
그러면 검사나 검사장 검찰총장때도 그렇게 수사하거나 수사지휘를 했습니까?
생사람 잡는 수사를 했느냐고 묻고 있습니다.
정치판은 그렇게는 하지 않습니다.
잘못을 했으면 최소한 사과라도 하고
재발방지를 약속하는 것이 그래도 정치판의 관례 입니다.
아무리 뻔뻔한 정치판이라도
그렇게는 하지 않습니다.
싹수가 노랗습니다.",1.2K,51,58,2021-09-15 00:00:00,"['대검', '차장', '출신', '등', '로펌', '수준', '의', '네거티브', '대응', '팀', '을', '만들어', '놓고', '기껏', '하는', '짓', '이', '막', '가', '파', '식', '정치', '공작', '이나', '하면서', '아니면', '말고', '식', '으로', '회피', '하는', '것', '은', '책임', '있는', '정치인', '의', '태도', '가', '아닙니다', '그러면', '검사', '나', '검사', '장', '검찰총장', '때', '도', '그렇게', '수사', '하', '거나', '수', '사', '지휘', '를', '했습니까', '생사람', '잡는', '수사', '를', '했느냐고', '묻고', '있습니다', '정치', '판', '은', '그렇게는', '하지', '않습니다', '잘못', '을', '했으면', '최소한', '사과', '라도', '하고', '재발', '방지', '를', '약속', '하는', '것', '이', '그래도', '정치', '판', '의', '관례', '입니다', '아무리', '뻔', '뻔한', '정치', '판이', '라도', '그렇게는', '하지', '않습니다', '싹수', '가', '노랗습니다']",-2.7713716307348335,-0.92,,,,,,,,,,,,,
"오늘 1차 컷오프를 무난히 통과하게 해주신 당원동지 여러분과 국민 여러분들께 머리 숙여 감사 드립니다.
아울러 통과하지 못하신 세분 동지들에게 심심한 위로의 말씀을 드립니다.
앞으로 모두 한마음이 되어 정권교체에 나설수 있도록 더욱더 배전의 노력을 다 할 것을 약속 드립니다.
거듭 감사 드립니다.",1.3K,58,60,2021-09-15 00:00:00,"['오늘', '1', '차', '컷오프', '를', '무난', '히', '통과', '하게', '해주신', '당원', '동지', '여러분', '과', '국민', '여러분', '들', '께', '머리', '숙여', '감사', '드립니다', '아울러', '통과', '하지', '못', '하신', '세분', '동지', '들', '에게', '심심한', '위로', '의', '말씀', '을', '드립니다', '앞', '으로', '모두', '한마음', '이', '되어', '정권', '교체', '에', '나설수', '있도록', '더욱더', '배전', '의', '노력', '을', '다', '할', '것', '을', '약속', '드립니다', '거듭', '감사', '드립니다']",2.1614000457463347,0.77,,,,,,,,,,,,,
이젠 저에게 그렇게 편파적이던 갤럽 마져 대세는 거스를수 없는 모양 입니다.,1.3K,48,53,2021-09-15 00:00:00,"['이', '젠', '저', '에게', '그렇게', '편파', '적', '이던', '갤럽', '마', '져', '대세', '는', '거스를수', '없는', '모양', '입니다']",-1.1441380226662714,-0.51,,,,,,,,,,,,,
"오늘 제 캠프 이필형 참모가 언론 인터뷰를 했습니다.
알리바이 증거도 제시했고
박지원.조성은이 만난 그날 자신의 모든 일정도 공개 했습니다.
박지원.조성은을 지금까지 한번도 만난 일이 없고
조성은 이라는 분은 처음듣는 이름이라고 밝혔습니다.
이쯤대면 윤후보 캠프에서 허위 정치공작을 한 국회의원 두명과
네거티브 대응팀의 검사출신 모 변호사는 퇴출 하십시오.
모든 것을 용서 할테니 그 세사람은 캠프에서 쫓아 내십시오.
그렇게 하지 않으면 나중에 형사처벌 될 겁니다.",1.3K,52,80,2021-09-15 00:00:00,"['오늘', '제', '캠프', '이필형', '참모', '가', '언론', '인터뷰', '를', '했습니다', '알리바이', '증거', '도', '제시', '했고', '박지원', '조성은', '이', '만난', '그날', '자신', '의', '모든', '일정', '도', '공개', '했습니다', '박지원', '조성은', '을', '지금', '까지', '한번', '도', '만난', '일이', '없고', '조성은', '이라는', '분', '은', '처음', '듣는', '이름', '이라고', '밝혔습니다', '이쯤', '대면', '윤후', '보', '캠프', '에서', '허위', '정치', '공작', '을', '한', '국회의원', '두', '명과', '네거티브', '대응', '팀', '의', '검사', '출신', '모', '변호사', '는', '퇴', '출', '하십시오', '모든', '것', '을', '용서', '할테니', '그', '세', '사람', '은', '캠프', '에서', '쫓아', '내', '십', '시오', '그렇게', '하지', '않으면', '나중', '에', '형사', '처벌', '될', '겁니다']",0.0,0.0,,,,,,,,,,,,,
"참  딱한 사람들 입니다.
자신들이 검찰 재직시에 한 것으로 의심을 받는 검찰발 정치공작 사건을 탈출하기 위해서
당의 공조직을 이용하고
남의 캠프를 음해하고 
나아가 슬하의 국회의원까지 법사위에  동원 하는 것을 보니
그건 새 정치가 아니고 구태중 구태정치 입니다.
한번만 더 내 캠프를 음해하면 
그때는 각오 하십시오.
그런 니전투구(泥戰鬪狗)싸움에 
내 캠프를 끌어 들이지 마십시오.
치사하게 하지 맙시다.
당당하면 숨지 말고 사내답게 대처 하십시오.",1.7K,77,84,2021-09-15 00:00:00,"['참', '딱한', '사람', '들', '입니다', '자신', '들', '이', '검찰', '재직', '시', '에', '한', '것', '으로', '의심', '을', '받는', '검찰', '발', '정치', '공작', '사건', '을', '탈출', '하기', '위해', '서', '당', '의', '공', '조직', '을', '이용', '하고', '남', '의', '캠프', '를', '음해', '하고', '나아가', '슬하', '의', '국회의원', '까지', '법', '사위', '에', '동원', '하는', '것', '을', '보니', '그건', '새', '정치가', '아니고', '구태', '중', '구태', '정치', '입니다', '한번', '만', '더', '내', '캠프', '를', '음해', '하면', '그때', '는', '각오', '하십시오', '그런', '니', '전투', '구', '싸움', '에', '내', '캠프', '를', '끌어', '들이지', '마십시오', '치사하게', '하지', '맙시', '다', '당당하면', '숨지', '말고', '사내답게', '대처', '하십시오']",-4.922390406608669,-1.65,,,,,,,,,,,,,
